,year,month,day
0,1900,10,23
1,1901,11,10
2,1902,10,30
3,1903,10,20
4,1904,11,7
5,1905,10,27
6,1906,10,17
7,1907,11,5
8,1908,10,24
9,1909,11,12
10,1910,11,1
11,1911,10,21
12,1912,11,8
13,1913,10,29
14,1914,10,18
15,1915,11,6
16,1916,10,26
17,1917,11,14
18,1918,11,3
19,1919,10,23
20,1920,11,10
21,1921,10,30
22,1922,10,20
23,1923,11,8
24,1924,10,27
25,1925,10,17
26,1926,11,5
27,1927,10,25
28,1928,11,11
29,1929,10,31
30,1930,10,21
31,1931,11,9
32,1932,10,29
33,1933,10,18
34,1934,11,6
35,1935,10,26
36,1936,11,13
37,1937,11,2
38,1938,10,22
39,1939,11,10
40,1940,10,30
41,1941,10,20
42,1942,11,8
43,1943,10,28
44,1944,10,16
45,1945,11,4
46,1946,10,24
47,1947,11,12
48,1948,10,31
49,1949,10,21
50,1950,11,9
51,1951,10,30
52,1952,10,18
53,1953,11,6
54,1954,10,26
55,1955,11,13
56,1956,11,2
57,1957,10,22
58,1958,11,10
59,1959,10,31
60,1960,10,19
61,1961,11,7
62,1962,10,28
63,1963,10,17
64,1964,11,3
65,1965,10,24
66,1966,11,12
67,1967,11,1
68,1968,10,21
69,1969,11,9
70,1970,10,29
71,1971,10,18
72,1972,11,5
73,1973,10,25
74,1974,11,13
75,1975,11,3
76,1976,10,22
77,1977,11,10
78,1978,10,31
79,1979,10,20
80,1980,11,7
81,1981,10,27
82,1982,11,15
83,1983,11,4
84,1984,10,24
85,1985,11,12
86,1986,11,1
87,1987,10,22
88,1988,11,9
89,1989,10,29
90,1990,10,18
91,1991,11,5
92,1992,10,25
93,1993,11,13
94,1994,11,3
95,1995,10,23
96,1996,11,10
97,1997,10,30
98,1998,10,19
99,1999,11,7
100,2000,10,26
101,2001,11,14
102,2002,11,4
103,2003,10,25
104,2004,11,12
105,2005,11,1
106,2006,10,21
107,2007,11,9
108,2008,10,28
109,2009,10,17
110,2010,11,5
111,2011,10,26
112,2012,11,13
113,2013,11,3
114,2014,10,23
115,2015,11,11
116,2016,10,30
117,2017,10,19
118,2018,11,7
119,2019,10,27
120,2020,11,14
121,2021,11,4
122,2022,10,24
123,2023,11,12
124,2024,10,31
125,2025,10,20
126,2026,11,8
127,2027,10,29
128,2028,10,17
129,2029,11,5
130,2030,10,26
131,2031,11,14
132,2032,11,2
133,2033,10,22
134,2034,11,10
135,2035,10,30
136,2036,10,18
137,2037,11,7
138,2038,10,27
139,2039,11,15
140,2040,11,4
141,2041,10,24
142,2042,11,12
143,2043,11,1
144,2044,10,20
145,2045,11,8
146,2046,10,29
147,2047,10,18
148,2048,11,5
149,2049,10,26
150,2050,11,14
151,2051,11,3
152,2052,10,22
153,2053,11,9
154,2054,10,30
155,2055,10,19
156,2056,11,7
157,2057,10,27
158,2058,11,15
159,2059,11,4
160,2060,10,23
161,2061,11,11
162,2062,10,31
163,2063,10,21
164,2064,11,8
165,2065,10,29
166,2066,10,18
167,2067,11,6
168,2068,10,25
169,2069,11,13
170,2070,11,2
171,2071,10,22
172,2072,11,9
173,2073,10,30
174,2074,10,19
175,2075,11,7
176,2076,10,27
177,2077,11,15
178,2078,11,4
179,2079,10,24
180,2080,11,11
181,2081,10,31
182,2082,10,21
183,2083,11,9
184,2084,10,28
185,2085,10,18
186,2086,11,5
187,2087,10,25
188,2088,11,12
189,2089,11,2
190,2090,10,22
191,2091,11,10
192,2092,10,30
193,2093,10,19
194,2094,11,7
195,2095,10,27
196,2096,11,14
197,2097,11,3
198,2098,10,23
199,2099,11,12
