(Base 2012=100)
Year,Month,State,Group,Sub Group,Description,Rural,Urban,Combined,Status,
2013,January,ALL India,,,Food and beverages,105.5,105.9,105.6,F,
2013,January,Andaman and Nicobar Islands,,,Food and beverages,105.7,107.7,106.5,F,
2013,January,Andhra Pradesh,,,Food and beverages,106.6,107.6,106.9,F,
2013,January,Arunachal Pradesh,,,Food and beverages,107.0,,,F,
2013,January,Assam,,,Food and beverages,103.8,105.5,104.0,F,
2013,January,Bihar,,,Food and beverages,106.2,107.1,106.3,F,
2013,January,Chandigarh,,,Food and beverages,103.9,104.3,104.3,F,
2013,January,Chhattisgarh,,,Food and beverages,103.3,104.2,103.6,F,
2013,January,Dadra and Nagar Haveli,,,Food and beverages,101.3,102.5,102.0,F,
2013,January,Daman and Diu,,,Food and beverages,104.9,104.6,104.8,F,
2013,January,Delhi,,,Food and beverages,104.2,103.2,103.3,F,
2013,January,Goa,,,Food and beverages,104.7,107.0,105.9,F,
2013,January,Gujarat,,,Food and beverages,104.0,105.0,104.5,F,
2013,January,Haryana,,,Food and beverages,104.0,103.5,103.8,F,
2013,January,Himachal Pradesh,,,Food and beverages,106.3,103.8,105.9,F,
2013,January,Jammu and Kashmir,,,Food and beverages,104.9,105.1,105.0,F,
2013,January,Jharkhand,,,Food and beverages,105.9,105.3,105.7,F,
2013,January,Karnataka,,,Food and beverages,106.1,106.6,106.3,F,
2013,January,Kerala,,,Food and beverages,108.1,109.9,108.6,F,
2013,January,Lakshadweep,,,Food and beverages,102.6,98.7,100.9,F,
2013,January,Madhya Pradesh,,,Food and beverages,105.8,105.1,105.6,F,
2013,January,Maharashtra,,,Food and beverages,105.4,105.2,105.3,F,
2013,January,Manipur,,,Food and beverages,102.5,103.2,102.7,F,
2013,January,Meghalaya,,,Food and beverages,101.9,105.5,102.8,F,
2013,January,Mizoram,,,Food and beverages,112.1,103.5,107.4,F,
2013,January,Nagaland,,,Food and beverages,104.2,103.1,103.8,F,
2013,January,Odisha,,,Food and beverages,103.7,105.6,104.1,F,
2013,January,Puducherry,,,Food and beverages,106.7,106.6,106.6,F,
2013,January,Punjab,,,Food and beverages,105.3,104.3,104.9,F,
2013,January,Rajasthan,,,Food and beverages,105.4,104.6,105.2,F,
2013,January,Sikkim,,,Food and beverages,106.5,107.6,106.8,F,
2013,January,Tamil Nadu,,,Food and beverages,107.1,108.2,107.7,F,
2013,January,Telangana,,,Food and beverages,106.2,107.4,106.8,F,
2013,January,Tripura,,,Food and beverages,102.4,107.2,103.4,F,
2013,January,Uttar Pradesh,,,Food and beverages,105.3,104.6,105.1,F,
2013,January,Uttarakhand,,,Food and beverages,105.2,105.2,105.2,F,
2013,January,West Bengal,,,Food and beverages,104.6,108.6,106.0,F,
2013,February,ALL India,,,Food and beverages,106.3,107.2,106.6,F,
2013,February,Andaman and Nicobar Islands,,,Food and beverages,105.9,103.4,104.9,F,
2013,February,Andhra Pradesh,,,Food and beverages,108.0,109.6,108.5,F,
2013,February,Arunachal Pradesh,,,Food and beverages,106.8,,,F,
2013,February,Assam,,,Food and beverages,104.0,103.9,104.0,F,
2013,February,Bihar,,,Food and beverages,107.3,108.1,107.4,F,
2013,February,Chandigarh,,,Food and beverages,105.3,105.4,105.4,F,
2013,February,Chhattisgarh,,,Food and beverages,104.2,106.0,104.7,F,
2013,February,Dadra and Nagar Haveli,,,Food and beverages,102.7,103.9,103.4,F,
2013,February,Daman and Diu,,,Food and beverages,106.7,106.4,106.6,F,
2013,February,Delhi,,,Food and beverages,105.6,103.5,103.7,F,
2013,February,Goa,,,Food and beverages,107.5,108.7,108.1,F,
2013,February,Gujarat,,,Food and beverages,104.6,105.7,105.1,F,
2013,February,Haryana,,,Food and beverages,104.0,105.2,104.4,F,
2013,February,Himachal Pradesh,,,Food and beverages,107.6,105.0,107.2,F,
2013,February,Jammu and Kashmir,,,Food and beverages,105.2,106.6,105.6,F,
2013,February,Jharkhand,,,Food and beverages,107.0,106.0,106.7,F,
2013,February,Karnataka,,,Food and beverages,108.2,109.3,108.7,F,
2013,February,Kerala,,,Food and beverages,109.4,110.3,109.7,F,
2013,February,Lakshadweep,,,Food and beverages,102.7,102.0,102.4,F,
2013,February,Madhya Pradesh,,,Food and beverages,106.6,106.3,106.5,F,
2013,February,Maharashtra,,,Food and beverages,106.1,106.1,106.1,F,
2013,February,Manipur,,,Food and beverages,102.9,103.4,103.0,F,
2013,February,Meghalaya,,,Food and beverages,102.6,106.2,103.5,F,
2013,February,Mizoram,,,Food and beverages,111.4,103.5,107.1,F,
2013,February,Nagaland,,,Food and beverages,104.5,104.1,104.4,F,
2013,February,Odisha,,,Food and beverages,104.4,105.8,104.7,F,
2013,February,Puducherry,,,Food and beverages,108.7,107.6,108.0,F,
2013,February,Punjab,,,Food and beverages,105.9,105.0,105.6,F,
2013,February,Rajasthan,,,Food and beverages,106.0,105.4,105.8,F,
2013,February,Sikkim,,,Food and beverages,106.7,107.7,106.9,F,
2013,February,Tamil Nadu,,,Food and beverages,108.6,109.5,109.1,F,
2013,February,Telangana,,,Food and beverages,105.4,110.0,107.5,F,
2013,February,Tripura,,,Food and beverages,101.2,108.0,102.6,F,
2013,February,Uttar Pradesh,,,Food and beverages,106.1,106.0,106.1,F,
2013,February,Uttarakhand,,,Food and beverages,104.9,106.4,105.4,F,
2013,February,West Bengal,,,Food and beverages,105.2,110.5,107.1,F,
2013,March,ALL India,,,Food and beverages,106.6,107.3,106.9,F,
2013,March,Andaman and Nicobar Islands,,,Food and beverages,105.3,103.9,104.7,F,
2013,March,Andhra Pradesh,,,Food and beverages,107.4,108.3,107.7,F,
2013,March,Arunachal Pradesh,,,Food and beverages,107.4,,,F,
2013,March,Assam,,,Food and beverages,104.3,104.2,104.3,F,
2013,March,Bihar,,,Food and beverages,107.3,106.4,107.2,F,
2013,March,Chandigarh,,,Food and beverages,104.3,106.7,106.5,F,
2013,March,Chhattisgarh,,,Food and beverages,105.2,106.0,105.4,F,
2013,March,Dadra and Nagar Haveli,,,Food and beverages,103.1,104.9,104.2,F,
2013,March,Daman and Diu,,,Food and beverages,107.2,107.8,107.4,F,
2013,March,Delhi,,,Food and beverages,106.0,105.4,105.4,F,
2013,March,Goa,,,Food and beverages,108.8,108.9,108.9,F,
2013,March,Gujarat,,,Food and beverages,105.4,106.3,105.8,F,
2013,March,Haryana,,,Food and beverages,104.6,105.8,105.0,F,
2013,March,Himachal Pradesh,,,Food and beverages,108.3,105.2,107.8,F,
2013,March,Jammu and Kashmir,,,Food and beverages,105.9,107.1,106.2,F,
2013,March,Jharkhand,,,Food and beverages,106.4,106.7,106.5,F,
2013,March,Karnataka,,,Food and beverages,109.2,109.7,109.4,F,
2013,March,Kerala,,,Food and beverages,109.6,110.2,109.8,F,
2013,March,Lakshadweep,,,Food and beverages,101.1,100.3,100.7,F,
2013,March,Madhya Pradesh,,,Food and beverages,107.2,106.5,107.0,F,
2013,March,Maharashtra,,,Food and beverages,105.9,106.4,106.2,F,
2013,March,Manipur,,,Food and beverages,102.8,103.3,102.9,F,
2013,March,Meghalaya,,,Food and beverages,103.0,106.6,103.9,F,
2013,March,Mizoram,,,Food and beverages,109.4,104.6,106.8,F,
2013,March,Nagaland,,,Food and beverages,105.0,104.6,104.9,F,
2013,March,Odisha,,,Food and beverages,104.2,105.0,104.4,F,
2013,March,Puducherry,,,Food and beverages,109.0,107.0,107.7,F,
2013,March,Punjab,,,Food and beverages,106.2,105.7,106.0,F,
2013,March,Rajasthan,,,Food and beverages,106.5,106.4,106.5,F,
2013,March,Sikkim,,,Food and beverages,104.7,108.5,105.6,F,
2013,March,Tamil Nadu,,,Food and beverages,108.6,109.4,109.0,F,
2013,March,Telangana,,,Food and beverages,105.3,108.8,106.9,F,
2013,March,Tripura,,,Food and beverages,100.7,108.9,102.4,F,
2013,March,Uttar Pradesh,,,Food and beverages,106.6,106.7,106.6,F,
2013,March,Uttarakhand,,,Food and beverages,105.0,107.4,105.7,F,
2013,March,West Bengal,,,Food and beverages,105.3,108.5,106.4,F,
2013,April,ALL India,,,Food and beverages,107.1,108.8,107.7,F,
2013,April,Andaman and Nicobar Islands,,,Food and beverages,105.4,103.0,104.4,F,
2013,April,Andhra Pradesh,,,Food and beverages,108.8,110.4,109.3,F,
2013,April,Arunachal Pradesh,,,Food and beverages,107.9,,,F,
2013,April,Assam,,,Food and beverages,103.2,104.1,103.3,F,
2013,April,Bihar,,,Food and beverages,106.0,105.5,105.9,F,
2013,April,Chandigarh,,,Food and beverages,106.5,107.2,107.1,F,
2013,April,Chhattisgarh,,,Food and beverages,104.9,106.9,105.5,F,
2013,April,Dadra and Nagar Haveli,,,Food and beverages,103.9,105.9,105.1,F,
2013,April,Daman and Diu,,,Food and beverages,108.9,110.2,109.4,F,
2013,April,Delhi,,,Food and beverages,107.6,106.4,106.5,F,
2013,April,Goa,,,Food and beverages,108.5,110.4,109.5,F,
2013,April,Gujarat,,,Food and beverages,106.6,108.6,107.5,F,
2013,April,Haryana,,,Food and beverages,105.9,107.9,106.6,F,
2013,April,Himachal Pradesh,,,Food and beverages,109.8,106.2,109.3,F,
2013,April,Jammu and Kashmir,,,Food and beverages,105.8,107.9,106.4,F,
2013,April,Jharkhand,,,Food and beverages,107.1,107.4,107.2,F,
2013,April,Karnataka,,,Food and beverages,111.1,112.3,111.6,F,
2013,April,Kerala,,,Food and beverages,110.6,111.5,110.9,F,
2013,April,Lakshadweep,,,Food and beverages,100.9,99.1,100.1,F,
2013,April,Madhya Pradesh,,,Food and beverages,107.7,108.5,108.0,F,
2013,April,Maharashtra,,,Food and beverages,106.4,108.2,107.4,F,
2013,April,Manipur,,,Food and beverages,103.9,103.9,103.9,F,
2013,April,Meghalaya,,,Food and beverages,102.6,107.7,103.8,F,
2013,April,Mizoram,,,Food and beverages,111.0,107.0,108.8,F,
2013,April,Nagaland,,,Food and beverages,105.7,105.6,105.7,F,
2013,April,Odisha,,,Food and beverages,105.0,105.8,105.2,F,
2013,April,Puducherry,,,Food and beverages,110.3,109.0,109.4,F,
2013,April,Punjab,,,Food and beverages,107.1,107.0,107.1,F,
2013,April,Rajasthan,,,Food and beverages,106.9,107.5,107.1,F,
2013,April,Sikkim,,,Food and beverages,105.1,106.8,105.5,F,
2013,April,Tamil Nadu,,,Food and beverages,109.7,111.9,110.8,F,
2013,April,Telangana,,,Food and beverages,105.2,109.8,107.3,F,
2013,April,Tripura,,,Food and beverages,100.3,108.3,102.0,F,
2013,April,Uttar Pradesh,,,Food and beverages,107.4,107.7,107.5,F,
2013,April,Uttarakhand,,,Food and beverages,105.6,108.0,106.3,F,
2013,April,West Bengal,,,Food and beverages,105.9,109.2,107.1,F,
2013,May,ALL India,,,Food and beverages,108.1,111.1,109.2,F,
2013,May,Andaman and Nicobar Islands,,,Food and beverages,106.2,110.5,108.0,F,
2013,May,Andhra Pradesh,,,Food and beverages,111.2,114.3,112.1,F,
2013,May,Arunachal Pradesh,,,Food and beverages,108.4,,,F,
2013,May,Assam,,,Food and beverages,104.5,105.2,104.6,F,
2013,May,Bihar,,,Food and beverages,106.2,105.5,106.1,F,
2013,May,Chandigarh,,,Food and beverages,106.3,106.7,106.7,F,
2013,May,Chhattisgarh,,,Food and beverages,105.5,110.0,106.8,F,
2013,May,Dadra and Nagar Haveli,,,Food and beverages,104.4,108.6,106.9,F,
2013,May,Daman and Diu,,,Food and beverages,110.8,111.6,111.1,F,
2013,May,Delhi,,,Food and beverages,108.2,107.1,107.2,F,
